probe_id,country,asn,samples,rtt_min,rtt_median,rtt_p95,jitter_iqr,loss_pct,distance_km,min_rtt_ms,inflation
7671,FR,8399,1073,70.12,74.22,75.07,0.08,0.09,3641.5,36.44,1.92
7742,NL,204539,1074,67.75,67.98,68.21,0.13,0.0,3534.7,35.37,1.92
6534,DE,200462,1077,61.33,65.49,66.32,0.25,0.0,3212.1,32.14,1.91
6724,DE,3320,1025,61.39,65.51,66.38,0.13,1.82,3212.1,32.14,1.91
6784,DE,3491,1077,61.46,65.63,65.97,0.2,0.0,3210.6,32.13,1.91
7006,DE,34953,1076,65.17,69.34,71.02,0.19,0.0,3405.6,34.08,1.91
7011,US,917,1074,202.35,206.6,207.62,0.26,0.0,10593.6,106.01,1.91
7261,NL,14907,1074,67.71,72.12,73.75,0.28,0.0,3547.4,35.5,1.91
7491,DE,214138,1071,61.5,65.66,66.59,0.2,0.56,3210.1,32.12,1.91
7527,EC,264744,1076,248.63,249.76,251.85,0.26,0.0,13000.4,130.09,1.91
7631,VE,21826,1079,213.28,214.54,220.71,0.11,0.0,11131.9,111.4,1.91
7715,US,11878,1075,202.77,208.49,210.41,0.49,0.19,10592.5,106.0,1.91
6407,US,55002,1077,201.06,205.24,206.87,0.18,0.0,10592.5,106.0,1.9
6488,EC,61468,1071,244.72,246.25,255.27,1.61,0.28,12869.2,128.78,1.9
6563,NL,20473,1077,67.36,71.52,73.15,0.15,0.0,3547.5,35.5,1.9
6670,GB,202422,1080,73.05,77.26,78.11,0.14,0.0,3841.0,38.44,1.9
7043,US,395823,1077,201.65,206.03,207.75,0.39,0.0,10593.5,106.01,1.9
7124,CL,52511,1077,268.74,269.05,270.1,0.2,0.0,14159.0,141.69,1.9
7188,NL,59642,1074,66.94,71.17,72.77,0.2,0.0,3526.9,35.29,1.9
7202,FR,44788,1074,69.23,73.35,74.97,0.13,0.0,3631.8,36.34,1.9
7554,DE,208976,1077,61.21,65.4,65.72,0.16,0.0,3219.5,32.22,1.9
7602,NL,41960,1080,67.17,71.37,72.99,0.16,0.0,3535.4,35.38,1.9
7141,DE,29423,1074,60.74,64.9,66.58,0.2,0.09,3218.1,32.2,1.89
7396,NL,3257,1077,66.91,71.09,72.76,0.17,0.0,3537.8,35.4,1.89
7553,VE,269730,1071,211.67,215.97,216.33,0.19,0.09,11208.3,112.16,1.89
7625,GB,215262,1071,76.03,77.79,78.64,1.07,0.0,4025.3,40.28,1.89
7685,DE,44656,1077,60.74,64.87,65.7,0.11,0.0,3215.1,32.17,1.89
7594,VE,21826,1053,215.16,216.25,223.04,0.11,0.0,11365.2,113.73,1.89
6333,FR,20766,1074,68.36,72.55,74.21,0.22,0.0,3632.4,36.35,1.88
6666,FR,202422,1077,68.36,72.57,74.22,0.15,0.0,3634.0,36.37,1.88
6715,DE,16276,1074,61.33,65.54,67.15,0.14,0.0,3261.8,32.64,1.88
6737,BE,39923,1077,66.16,70.44,71.33,0.16,0.0,3519.6,35.22,1.88
6794,US,46997,1077,199.21,201.92,203.34,0.16,0.0,10605.7,106.13,1.88
6971,GB,14061,1077,72.99,77.27,78.16,0.25,0.0,3883.7,38.86,1.88
6981,FR,16552,1080,68.3,72.54,74.24,0.2,0.0,3635.3,36.38,1.88
7035,DE,24961,1080,63.54,67.71,69.32,0.16,0.0,3372.2,33.75,1.88
7163,PE,272894,1075,251.38,251.63,252.44,0.22,0.0,13349.1,133.58,1.88
7480,US,20001,1077,225.29,225.58,227.55,0.2,0.0,11987.4,119.96,1.88
7570,CO,273103,1074,228.9,241.59,244.07,2.47,0.0,12152.0,121.6,1.88
7654,DE,20292,1080,60.22,64.49,66.1,0.23,0.0,3208.2,32.1,1.88
7723,DE,34854,1080,60.55,64.68,66.3,0.12,0.0,3219.6,32.22,1.88
6561,DE,20473,1077,60.17,64.32,65.95,0.13,0.0,3208.1,32.1,1.87
6696,FR,16276,1080,68.77,73.1,73.99,0.15,0.0,3683.3,36.86,1.87
6979,DE,16552,1077,60.1,64.28,65.93,0.16,0.0,3208.2,32.1,1.87
7157,US,53698,1080,216.11,219.9,220.92,0.42,0.0,11555.9,115.64,1.87
7184,DE,208398,1074,60.18,102.59,104.31,2.89,0.0,3211.9,32.14,1.87
7196,DE,24840,1077,60.23,64.45,66.08,0.2,0.0,3215.1,32.17,1.87
7308,CL,20015,1073,265.08,268.07,268.81,0.19,0.0,14159.8,141.7,1.87
7618,DE,214895,1074,60.34,64.53,66.19,0.2,0.0,3218.4,32.21,1.87
7724,DE,1299,1080,60.0,64.22,65.82,0.12,0.0,3208.3,32.11,1.87
6313,DE,203329,1077,60.05,64.18,65.82,0.16,0.0,3218.3,32.21,1.86
7659,CO,271927,1075,222.67,227.31,232.07,3.83,0.09,11983.2,119.91,1.86
6364,DO,265721,1077,199.23,203.46,206.3,0.58,0.0,10742.1,107.5,1.85
6738,GB,58057,1074,71.11,72.3,74.41,0.18,0.09,3847.7,38.5,1.85
7390,DO,273867,1073,199.61,204.62,205.51,0.15,0.09,10782.1,107.9,1.85
7694,CO,269907,1075,230.47,235.46,236.53,0.23,0.0,12470.5,124.79,1.85
7716,US,11878,1074,216.3,220.57,221.48,0.11,0.0,11702.6,117.11,1.85
7775,US,2497,1080,216.95,222.28,224.59,0.26,0.0,11705.7,117.14,1.85
6870,NL,15693,1077,64.96,69.19,70.06,0.21,0.0,3526.6,35.29,1.84
6969,NL,14061,1077,64.81,69.96,70.46,0.26,0.0,3526.7,35.29,1.84
7227,US,35008,1077,215.53,228.62,229.73,0.7,0.0,11692.0,117.0,1.84
6634,US,5006,1074,183.68,184.01,184.85,0.25,0.0,10016.0,100.23,1.83
6898,US,398960,1074,214.6,219.33,221.3,0.36,0.28,11691.9,117.0,1.83
7233,MX,4493,456,225.24,227.46,231.77,3.21,8.8,12295.2,123.04,1.83
7402,DE,60767,1077,58.61,62.95,65.31,0.3,0.0,3208.3,32.11,1.83
7614,US,49544,1074,219.83,225.2,226.17,0.09,0.0,12002.0,120.1,1.83
7652,EC,273034,1076,240.5,243.07,244.82,0.4,0.0,13102.4,131.11,1.83
6398,MX,22894,1077,221.63,230.12,231.54,2.92,0.28,12164.2,121.73,1.82
6661,NL,202422,941,64.17,69.76,235.99,13.05,6.37,3528.3,35.31,1.82
7097,DE,56381,1077,58.34,62.51,63.38,0.12,0.0,3208.7,32.11,1.82
7134,FR,48813,1074,66.23,70.35,71.23,0.08,0.0,3633.9,36.36,1.82
7226,LU,49703,1079,61.37,65.56,66.45,0.12,0.0,3376.2,33.78,1.82
7128,CA,399580,1074,177.21,180.13,180.77,0.12,0.0,9781.7,97.88,1.81
7500,VE,269829,1077,208.24,222.4,222.81,11.32,0.0,11510.1,115.18,1.81
7541,CR,263779,1074,227.87,234.3,235.73,0.32,0.0,12548.3,125.57,1.81
7609,PE,7195,1077,245.23,248.11,270.38,0.14,0.0,13568.3,135.78,1.81
7672,US,400848,1074,164.6,165.89,168.07,0.4,0.0,9065.8,90.72,1.81
7717,US,397270,1070,211.23,218.33,220.53,0.25,0.19,11692.0,117.0,1.81
6411,US,55002,1074,210.46,215.97,216.92,0.16,0.0,11714.9,117.23,1.8
6482,US,7247,1077,210.92,217.86,219.66,0.2,0.0,11692.2,117.0,1.8
6546,DO,264605,1077,194.35,200.48,201.35,0.16,0.0,10771.3,107.79,1.8
6599,US,20473,1077,211.21,212.64,219.2,4.34,0.0,11706.6,117.15,1.8
