block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P1,tcp-bbr,W3,50,0,45,321.527,321.809,10240,1
primary,P1,quic,W3,50,0,17,410.46,411.254,10240,1
primary,P1,tcp-bbr,W3,50,0,31,286.307,286.385,10240,1
primary,P1,quic,W3,50,0,25,228.098,229.749,10240,1
primary,P1,tcp-bbr,W3,50,0,10,291.778,292.595,10240,1
primary,P1,quic,W3,50,0,4,330.245,331.95,10240,1
primary,P1,tcp-cubic,W3,50,0,23,220.973,225.082,10240,1
primary,P1,quic,W3,50,0,37,141.578,142.242,10240,1
primary,P1,tcp-bbr,W3,50,0,44,240.409,248.517,10240,1
primary,P1,tcp-bbr,W3,50,0,0,248.552,248.613,10240,1
primary,P1,tcp-bbr,W3,50,0,3,236.611,238.477,10240,1
primary,P1,tcp-bbr,W3,50,0,21,250.752,253.629,10240,1
primary,P1,tcp-bbr,W3,50,0,19,218.423,222.223,10240,1
primary,P1,tcp-cubic,W3,50,0,33,242.184,243.333,10240,1
primary,P1,quic,W3,50,0,3,384.273,385.856,10240,1
primary,P1,tcp-cubic,W3,50,0,10,250.02,251.955,10240,1
primary,P1,tcp-cubic,W3,50,0,40,263.187,272.936,10240,1
primary,P1,tcp-bbr,W3,50,0,48,318.086,319.941,10240,1
primary,P1,quic,W3,50,0,20,333.253,336.062,10240,1
primary,P1,quic,W3,50,0,47,354.075,355.108,10240,1
primary,P1,tcp-bbr,W3,50,0,25,291.687,291.889,10240,1
primary,P1,tcp-cubic,W3,50,0,41,216.682,242.413,10240,1
primary,P1,quic,W3,50,0,15,169.756,169.848,10240,1
primary,P1,tcp-cubic,W3,50,0,24,222.464,225.696,10240,1
primary,P1,tcp-cubic,W3,50,0,46,245.656,246.84,10240,1
primary,P1,tcp-bbr,W3,50,0,39,225.437,237.562,10240,1
primary,P1,tcp-cubic,W3,50,0,25,222.303,237.865,10240,1
primary,P1,tcp-bbr,W3,50,0,17,252.937,253.049,10240,1
primary,P1,tcp-bbr,W3,50,0,38,376.759,408.305,10240,1
primary,P1,tcp-cubic,W3,50,0,48,299.47,301.101,10240,1
primary,P1,tcp-bbr,W3,50,0,27,268.559,278.956,10240,1
primary,P1,tcp-cubic,W3,50,0,4,325.236,413.155,10240,1
primary,P1,tcp-cubic,W3,50,0,2,312.913,336.329,10240,1
primary,P1,tcp-cubic,W3,50,0,44,302.138,302.203,10240,1
primary,P1,quic,W3,50,0,11,376.073,376.161,10240,1
primary,P1,tcp-bbr,W3,50,0,14,262.84,284.915,10240,1
primary,P1,tcp-cubic,W3,50,0,22,241.346,277.955,10240,1
primary,P1,tcp-cubic,W3,50,0,31,281.757,294.375,10240,1
primary,P1,tcp-cubic,W3,50,0,9,306.903,306.957,10240,1
primary,P1,tcp-cubic,W3,50,0,37,244.675,252.05,10240,1
primary,P1,tcp-bbr,W3,50,0,23,411.951,419.814,10240,1
primary,P1,quic,W3,50,0,39,204.093,205.249,10240,1
primary,P1,tcp-cubic,W3,50,0,13,228.775,238.181,10240,1
primary,P1,tcp-cubic,W3,50,0,18,215.736,215.818,10240,1
primary,P1,quic,W3,50,0,27,175.04,175.12,10240,1
primary,P1,tcp-bbr,W3,50,0,20,216.321,224.084,10240,1
primary,P1,quic,W3,50,0,49,161.077,161.16,10240,1
primary,P1,tcp-bbr,W3,50,0,40,245.59,274.788,10240,1
primary,P1,tcp-cubic,W3,50,0,6,314.578,327.593,10240,1
primary,P1,quic,W3,50,0,42,189.894,189.985,10240,1
primary,P1,quic,W3,50,0,21,348.519,348.606,10240,1
primary,P1,tcp-bbr,W3,50,0,28,234.518,236.31,10240,1
primary,P1,tcp-cubic,W3,50,0,39,251.438,251.516,10240,1
primary,P1,tcp-cubic,W3,50,0,35,329.519,330.383,10240,1
primary,P1,tcp-bbr,W3,50,0,4,258.698,258.76,10240,1
primary,P1,tcp-cubic,W3,50,0,29,295.731,327.838,10240,1
primary,P1,quic,W3,50,0,16,158.807,160.862,10240,1
